Stage,Tactic (MITRE),Technique,Description,Implementation Methods,Associated Tools,Observed Indicators,Confidence
Step 0,TA0001 - Initial Access,T1583.001 - Domains,"Adversaries acquire domains for malicious purposes including phishing, drive-by compromise, and command and control.",Domain purchasing; Typosquatting; IDN homograph attacks; Expired domain reuse,Domain registrars; WHOIS privacy services; DNS management tools,"C2, domain, registered domains",0.876
Step 2,TA0001 - Initial Access,T1566.001 - Spearphishing Attachment,Adversaries send spearphishing emails with malicious attachments to gain initial access.,Malicious documents; Macro-enabled files; Archive attachments; PDF exploits,Email clients; Document generators; Exploit kits; Social engineering,"Microsoft Office documents, Microsoft Word documents, email",0.911
Step 4,TA0007 - Discovery,T1083 - File and Directory Discovery,Technique related to Discovery phase of the attack.,Various methods depending on environment,Various tools,"document, folders",0.928
Step 6,TA0002 - Execution,T1204.002 - Malicious File,Technique related to Execution phase of the attack.,Various methods depending on environment,PowerShell; cmd.exe; Cobalt Strike; Metasploit; Empire,"victim, document, email",0.944
Step 13,TA0002 - Execution,T1203 - Exploitation for Client Execution,Technique related to Execution phase of the attack.,Various methods depending on environment,PowerShell; cmd.exe; Cobalt Strike; Metasploit; Empire,No specific indicators,1.000
Step 16,TA0007 - Discovery,T1082 - System Information Discovery,Technique related to Discovery phase of the attack.,Various methods depending on environment,Various tools,"victim, hostname, machine",0.877
Step 18,TA0009 - Collection,T1005 - Data from Local System,Technique related to Collection phase of the attack.,Various methods depending on environment,Various tools,"files, machine, victims",0.871
Step 19,TA0002 - Execution,T1059.001 - PowerShell,Adversaries abuse command and script interpreters to execute commands and scripts.,PowerShell scripts; Command line execution; Batch files; Shell commands,PowerShell; cmd.exe; bash; Python; JavaScript,No specific indicators,1.000
Step 22,TA0003 - Persistence,T1547.001 - Registry Run Keys / Startup Folder,Technique related to Persistence phase of the attack.,Various methods depending on environment,Scheduled tasks; Registry modifications; Service creation; WMI subscriptions,persistence,0.994
Step 25,TA0002 - Execution,T1127.001 - MSBuild,Technique related to Execution phase of the attack.,Various methods depending on environment,PowerShell; cmd.exe; Cobalt Strike; Metasploit; Empire,No specific indicators,1.000
Step 41,TA0002 - Execution,T1059.003 - Windows Command Shell,Adversaries abuse command and script interpreters to execute commands and scripts.,PowerShell scripts; Command line execution; Batch files; Shell commands,PowerShell; cmd.exe; bash; Python; JavaScript,"cmd.exe, commands, command",1.000
Step 48,TA0005 - Defense Evasion,T1140 - Deobfuscate/Decode Files or Information,Technique related to Defense Evasion phase of the attack.,Various methods depending on environment,Process injection; AMSI bypass; Obfuscation; Living off the land binaries,"payload, base64-encoded commands, script",1.000
Step 57,TA0011 - Command and Control,T1573.001 - Symmetric Cryptography,Technique related to Command and Control phase of the attack.,Various methods depending on environment,Various tools,"encrypted RC4 byte stream, C2",1.000
Step 59,TA0011 - Command and Control,T1008 - Fallback Channels,Technique related to Command and Control phase of the attack.,Various methods depending on environment,Various tools,"C2, domain, domains",0.912
Step 67,TA0002 - Execution,T1059.001 - PowerShell,Adversaries abuse command and script interpreters to execute commands and scripts.,PowerShell scripts; Command line execution; Batch files; Shell commands,PowerShell; cmd.exe; bash; Python; JavaScript,"PowerShell commands, PowerShell scripts, PowerShell script",0.913
Step 68,TA0007 - Discovery,T1018 - Remote System Discovery,Technique related to Discovery phase of the attack.,Various methods depending on environment,Various tools,"remote host, host",0.900
Step 70,TA0009 - Collection,T1074.001 - Local Data Staging,Technique related to Collection phase of the attack.,Various methods depending on environment,Various tools,information,0.994
Step 72,TA0010 - Exfiltration,T1029 - Scheduled Transfer,Technique related to Exfiltration phase of the attack.,Various methods depending on environment,Various tools,"data, C2, information",0.891
